id,user_id,action,resource,resource_id,ip_address,success,timestamp
1,118,ADMIN_ACCESS,backups,162,10.1.74.143,True,2023-05-11 06:15:12
2,196,PERMISSION_CHANGE,api_keys,31,10.1.169.83,True,2023-05-01 15:11:50
3,210,PROFILE_UPDATE,invoices,52,10.0.41.217,False,2023-09-25 08:34:30
4,218,BACKUP_TRIGGER,configs,119,10.0.48.148,True,2023-10-23 17:04:06
5,566,LOGOUT,configs,150,10.0.206.193,True,2023-09-04 08:28:40
6,142,REPORT_DOWNLOAD,api_keys,127,10.0.17.14,True,2023-04-19 15:25:47
7,517,INVOICE_DOWNLOAD,backups,178,10.0.241.211,True,2023-06-25 13:07:16
8,498,INVOICE_DOWNLOAD,configs,124,10.3.0.16,True,2023-03-10 16:05:01
9,478,LOGOUT,api_keys,35,10.3.52.227,True,2023-01-23 00:15:05
10,153,LOGIN,users,148,10.1.194.248,False,2023-05-07 02:10:10
11,106,USER_DELETE,api_keys,117,10.2.141.74,True,2023-08-17 08:38:53
12,20,BACKUP_TRIGGER,clients,28,10.0.46.169,True,2023-01-19 15:04:02
13,394,ADMIN_ACCESS,backups,167,10.3.205.50,False,2023-02-25 13:10:06
14,332,DATA_EXPORT,invoices,186,10.2.188.194,False,2023-05-10 02:54:33
15,262,USER_CREATE,logs,173,10.2.40.71,True,2023-09-13 16:34:25
16,51,PROFILE_UPDATE,logs,185,10.0.11.220,True,2023-03-05 11:59:50
17,62,CONFIG_CHANGE,logs,180,10.3.44.226,True,2023-03-09 05:41:21
18,6,LOGIN,backups,137,10.1.253.104,True,2023-02-12 14:41:39
19,130,LOGIN,reports,172,10.2.89.139,True,2023-07-01 03:02:24
20,524,BACKUP_TRIGGER,contracts,139,10.1.246.53,True,2023-02-02 17:46:24
21,592,USER_CREATE,api_keys,25,10.1.205.179,True,2023-06-16 07:12:31
22,339,DATA_EXPORT,api_keys,165,10.1.180.201,True,2023-10-21 20:19:41
23,150,CONTRACT_VIEW,reports,127,10.3.149.78,True,2023-05-12 07:10:22
24,286,ADMIN_ACCESS,clients,108,10.0.151.150,False,2023-02-16 18:43:04
25,410,INVOICE_DOWNLOAD,contracts,126,10.3.182.122,False,2023-09-17 19:27:44
26,440,API_KEY_CREATE,reports,73,10.0.156.243,False,2023-03-13 12:55:35
27,21,API_KEY_CREATE,contracts,96,10.3.169.233,True,2023-09-28 14:43:36
28,150,LOGOUT,backups,127,10.1.84.13,True,2023-10-28 03:22:22
29,263,REPORT_DOWNLOAD,clients,179,10.1.168.110,True,2023-06-12 02:56:58
30,443,PROFILE_UPDATE,invoices,157,10.0.247.28,False,2023-08-19 03:32:40
31,368,USER_DELETE,backups,20,10.2.207.138,True,2023-01-03 00:03:46
32,33,CONFIG_CHANGE,clients,90,10.1.109.72,True,2023-09-12 16:14:37
33,535,PROFILE_UPDATE,configs,63,10.3.245.242,True,2023-01-24 17:34:05
34,421,API_KEY_CREATE,backups,32,10.0.189.44,False,2023-09-16 14:46:24
35,270,DATA_EXPORT,backups,8,10.2.161.59,True,2023-04-10 16:20:47
36,26,USER_CREATE,contracts,155,10.1.218.59,False,2023-01-18 07:49:38
37,120,CONFIG_CHANGE,configs,103,10.3.254.47,False,2023-04-10 10:15:59
38,37,LOGIN,clients,126,10.0.187.247,True,2023-07-05 05:01:52
39,287,USER_CREATE,logs,35,10.0.239.10,True,2023-09-15 16:05:53
40,167,INVOICE_DOWNLOAD,logs,30,10.2.151.237,True,2023-08-28 05:06:48
41,276,USER_DELETE,invoices,88,10.3.129.186,True,2023-09-09 00:10:18
42,496,CONTRACT_VIEW,clients,181,10.0.15.203,False,2023-01-18 21:57:48
43,317,REPORT_DOWNLOAD,contracts,163,10.2.158.56,False,2023-07-07 12:08:07
44,108,PASSWORD_CHANGE,users,79,10.0.14.36,False,2023-04-18 08:43:25
45,246,CONFIG_CHANGE,logs,23,10.1.253.208,True,2023-02-15 08:39:08
46,443,USER_CREATE,api_keys,54,10.3.12.52,True,2023-10-24 16:14:49
47,113,LOGOUT,logs,130,10.1.183.155,True,2023-10-07 12:57:27
48,69,PERMISSION_CHANGE,contracts,199,10.0.0.107,True,2023-03-10 14:44:08
49,238,BACKUP_TRIGGER,backups,117,10.0.209.219,False,2023-07-10 04:58:33
50,42,CONTRACT_VIEW,contracts,136,10.1.158.15,True,2023-07-09 11:54:45
51,446,PROFILE_UPDATE,api_keys,8,10.2.38.236,True,2023-05-27 09:06:28
52,30,ADMIN_ACCESS,reports,52,10.2.43.251,True,2023-07-11 21:18:19
53,352,CONTRACT_VIEW,api_keys,80,10.0.193.214,True,2023-08-17 15:07:44
54,14,USER_CREATE,backups,170,10.0.220.247,False,2023-09-23 05:37:14
55,21,PERMISSION_CHANGE,invoices,3,10.3.146.233,True,2023-06-20 09:05:02
56,528,DATA_EXPORT,api_keys,176,10.0.215.236,False,2023-07-12 14:43:53
57,56,LOGOUT,contracts,87,10.3.150.52,True,2023-07-07 00:38:55
58,183,DATA_EXPORT,clients,16,10.2.180.156,True,2023-05-08 14:35:50
59,413,PASSWORD_CHANGE,users,194,10.0.216.35,True,2023-07-05 13:24:51
60,125,CONFIG_CHANGE,clients,164,10.0.178.50,True,2023-10-18 05:08:25
61,502,CONTRACT_VIEW,backups,10,10.3.241.29,True,2023-07-01 20:03:59
62,101,BACKUP_TRIGGER,clients,79,10.3.61.94,True,2023-03-16 08:01:03
63,142,LOGOUT,contracts,30,10.3.180.152,True,2023-07-01 16:39:14
64,119,CONFIG_CHANGE,backups,12,10.3.58.37,True,2023-05-14 15:20:19
65,421,LOGOUT,logs,62,10.3.121.147,True,2023-02-01 00:20:29
66,539,INVOICE_DOWNLOAD,users,35,10.1.87.48,False,2023-08-17 13:20:06
67,162,CONTRACT_VIEW,configs,155,10.1.89.84,True,2023-09-22 06:36:05
68,377,PASSWORD_CHANGE,contracts,177,10.1.17.240,True,2023-01-14 01:24:23
69,76,DATA_EXPORT,configs,196,10.0.22.159,True,2023-07-26 06:51:21
70,44,LOGIN,backups,77,10.1.195.164,True,2023-01-06 17:56:22
71,264,USER_DELETE,logs,120,10.1.19.218,False,2023-02-09 23:31:04
72,211,USER_DELETE,contracts,121,10.3.88.227,True,2023-09-24 21:06:58
73,449,USER_CREATE,backups,97,10.3.90.112,True,2023-09-09 11:08:38
74,286,INVOICE_DOWNLOAD,backups,135,10.1.248.148,True,2023-03-19 15:20:14
75,295,PERMISSION_CHANGE,api_keys,110,10.1.126.239,True,2023-10-24 00:06:49
76,132,LOGIN,configs,109,10.1.239.241,False,2023-08-06 00:11:45
77,609,REPORT_DOWNLOAD,clients,103,10.3.230.215,True,2023-06-06 19:23:57
78,487,PERMISSION_CHANGE,reports,128,10.2.183.61,False,2023-10-11 00:37:40
79,214,BACKUP_TRIGGER,contracts,61,10.3.19.230,True,2023-02-02 06:51:26
80,428,PERMISSION_CHANGE,contracts,173,10.3.4.47,True,2023-01-09 14:10:05
81,395,PERMISSION_CHANGE,clients,6,10.2.166.234,False,2023-06-04 10:22:53
82,429,LOGOUT,reports,181,10.2.54.243,True,2023-10-22 15:04:16
83,213,LOGIN,backups,118,10.3.150.115,False,2023-02-08 00:32:07
84,232,ADMIN_ACCESS,clients,32,10.2.114.167,True,2023-02-10 14:21:37
85,359,USER_CREATE,backups,181,10.1.208.238,True,2023-03-20 13:07:48
86,87,API_KEY_CREATE,configs,12,10.0.153.15,True,2023-09-21 09:38:20
87,139,LOGOUT,clients,168,10.0.0.183,True,2023-10-15 06:15:46
88,231,INVOICE_DOWNLOAD,users,26,10.1.125.213,False,2023-06-28 13:21:16
89,174,BACKUP_TRIGGER,invoices,34,10.0.89.62,True,2023-06-28 07:40:33
90,198,PERMISSION_CHANGE,reports,171,10.2.58.203,False,2023-05-06 21:25:50
91,98,ADMIN_ACCESS,backups,96,10.0.133.50,False,2023-05-25 18:04:48
92,417,LOGIN,logs,126,10.0.4.191,True,2023-05-14 20:42:53
93,115,CONTRACT_VIEW,clients,54,10.3.23.41,False,2023-08-25 00:02:49
94,265,USER_CREATE,backups,32,10.3.16.211,True,2023-01-06 01:19:12
95,346,CONFIG_CHANGE,contracts,56,10.1.11.23,True,2023-10-05 02:21:40
96,454,DATA_EXPORT,users,22,10.0.20.233,True,2023-03-15 16:16:17
97,243,USER_CREATE,reports,140,10.2.170.217,False,2023-02-25 16:55:46
98,10,INVOICE_DOWNLOAD,reports,150,10.3.0.20,True,2023-07-13 08:36:25
99,90,DATA_EXPORT,configs,43,10.2.163.109,False,2023-07-09 11:39:36
